name,brand,notes,citrus,woody,fresh_spicy,sweet
Giorgio Armani Fucking Fabulous Privé,Giorgio Armani,amberwood tonka_bean oakmoss petitgrain mandarin honey,20,28,2,50
Versace Herod Intense,Versace,vetiver praline cedar,3,64,13,20
Hermes Aventus Sport,Hermes,grapefruit lemon sandalwood patchouli cloves oud,25,59,16,0
Prada Interlude,Prada,honey pineapple bergamot ginger,24,13,23,40
Jean Paul Gaultier Black Phantom Parfum,Jean Paul Gaultier,lavender honey,0,9,25,66
Prada Millessime Imperial Eau de Parfum,Prada,amberwood cedar cashmeran honey caramel,12,36,6,46
Lancome Green Irish Tweed Parfum,Lancome,neroli pineapple oakmoss praline petitgrain patchouli,38,31,8,23
Jean Paul Gaultier The One,Jean Paul Gaultier,sandalwood apple,0,23,1,76
Paco Rabanne No 5 Parfum,Paco Rabanne,vetiver lemon cloves cinnamon,16,53,31,0
Chanel Straight to Heaven Extreme,Chanel,vanilla lemon tonka_bean ambroxan,36,36,8,20
Roja Rose of No Man's Land Night,Roja,birch neroli cedar sandalwood caramel,35,37,3,25
Creed Le Beau,Creed,lavender sandalwood neroli bergamot,16,48,27,9
Tom Ford Layton Privé,Tom Ford,lime birch cinnamon ginger,46,33,21,0
Chanel Code Parfum,Chanel,oakmoss ginger grapefruit mint orange caramel oud,22,19,27,32
Amouage Noir Extreme Parfum,Amouage,patchouli amberwood petitgrain pink_pepper,23,54,23,0
Gucci Oud Wood Extreme,Gucci,patchouli lime orange cedar,39,56,5,0
Hermes Gypsy Water Parfum,Hermes,grapefruit coffee chocolate,57,5,4,34
Chanel Layton Gold,Chanel,petitgrain patchouli birch cinnamon oud,35,40,25,0
Creed Baccarat Rouge Extreme,Creed,grapefruit cashmeran sandalwood oud,53,38,9,0
Tom Ford Green Irish Tweed,Tom Ford,oakmoss orange bergamot,36,49,15,0
Roja Neroli Portofino Extreme,Roja,amberwood apple ginger peach lime bergamot,34,16,24,26
Paco Rabanne Hypnotic Poison Privé,Paco Rabanne,cedar oakmoss cardamom mandarin lime birch,34,50,16,0
Amouage Baccarat Rouge Privé,Amouage,vetiver praline petitgrain bergamot oud,32,42,5,21
Roja Code Sport,Roja,blackcurrant tonka_bean oakmoss nutmeg ginger,11,28,27,34
Lancome Scandal Elixir,Lancome,grapefruit cashmeran orange,55,37,0,8
Roja Ombre Leather Sport,Roja,caramel tonka_bean orange nutmeg,27,9,37,27
Tom Ford Bal d'Afrique Intense,Tom Ford,patchouli mint,8,56,36,0
Prada Tobacco Vanille Parfum,Prada,grapefruit patchouli mint cloves,26,44,30,0
Prada Grey Vetiver Elixir,Prada,amberwood apple lime caramel bergamot,54,20,7,19
Gucci Lost Cherry Night,Gucci,pepper pink_pepper orange oud,25,51,21,3
Paco Rabanne Le Beau Parfum,Paco Rabanne,patchouli birch cinnamon oud,13,64,23,0
Creed Black Phantom Sport,Creed,vanilla coffee petitgrain pink_pepper cloves,33,12,39,16
Versace Ombre Leather Parfum,Versace,amberwood oakmoss mint lemon birch,40,28,32,0
Chanel Coco Mademoiselle,Chanel,sandalwood pineapple caramel cedar,11,51,0,38
Chanel La Nuit de L'Homme Night,Chanel,apple pineapple orange,16,13,10,61
Yves Saint Laurent Jadore Privé,Yves Saint Laurent,cedar vetiver pineapple lavender birch pepper,10,18,29,43
Paco Rabanne One Million Parfum,Paco Rabanne,oakmoss tonka_bean ambroxan,6,55,7,32
Hermes Dylan Blue Sport,Hermes,tonka_bean cedar oakmoss mint peach bergamot oud,37,17,30,16
Jean Paul Gaultier Code Gold,Jean Paul Gaultier,ambroxan orange neroli,48,35,8,9
Yves Saint Laurent Black Orchid Extreme,Yves Saint Laurent,lime birch petitgrain,41,51,8,0
Maison Margiela Bal d'Afrique Parfum,Maison Margiela,amberwood pink_pepper oud patchouli bergamot pepper,50,26,24,0
Amouage Interlude Privé,Amouage,apple cashmeran peach orange petitgrain sandalwood,18,22,0,60
Kilian Acqua Di Gio Privé,Kilian,sandalwood cashmeran peach birch,0,61,2,37
Gucci Light Blue Elixir,Gucci,pineapple praline bergamot,47,11,9,33
Tom Ford Alien Elixir,Tom Ford,peach chocolate cedar,11,24,4,61
Versace Layton Intense,Versace,pink_pepper ginger neroli oud,39,26,35,0
Hermes Jadore Extreme,Hermes,neroli cashmeran petitgrain cardamom patchouli,22,52,26,0
Maison Margiela L'Homme,Maison Margiela,saffron ambroxan vetiver oakmoss mandarin,41,30,29,0
Maison Margiela Layton Gold,Maison Margiela,vetiver lemon sandalwood nutmeg,23,42,35,0
Amouage Alien Extreme,Amouage,amberwood patchouli lime birch cinnamon pepper,53,29,17,1
Giorgio Armani Le Beau Intense,Giorgio Armani,patchouli neroli,58,21,13,8
Lancome Libre,Lancome,vetiver pink_pepper cloves birch,14,44,42,0
Byredo Grey Vetiver Privé,Byredo,saffron mandarin,43,14,29,14
Gucci Black Orchid Night,Gucci,vetiver cloves ambroxan cedar,14,53,23,10
Lancome Jubilation Gold,Lancome,amberwood ambroxan vetiver lavender lime,32,47,21,0
Prada Baccarat Rouge Night,Prada,vetiver cardamom sandalwood coffee caramel pepper,3,18,36,43
Jean Paul Gaultier Invictus,Jean Paul Gaultier,oakmoss lemon orange cardamom sandalwood oud,35,32,33,0
Lancome Gypsy Water Night,Lancome,neroli mint lemon oud pepper,46,32,22,0
Versace The One Intense,Versace,oakmoss lemon mandarin patchouli birch,25,60,15,0
Kilian Angels Share Eau de Parfum,Kilian,amberwood orange oud,46,44,10,0
Prada Ombre Leather Eau de Parfum,Prada,honey grapefruit orange blackcurrant,31,6,13,50
Paco Rabanne Black Orchid Intense,Paco Rabanne,grapefruit cashmeran lemon pink_pepper,26,53,21,0
Gucci Acqua Di Gio,Gucci,pepper pink_pepper neroli mandarin,43,13,37,7
Paco Rabanne The One Night,Paco Rabanne,neroli oakmoss patchouli chocolate oud,32,45,7,16
Giorgio Armani Sauvage Sport,Giorgio Armani,amberwood oakmoss grapefruit petitgrain patchouli,37,49,14,0
Prada Bal d'Afrique Elixir,Prada,blackcurrant coffee,10,8,5,77
Byredo Alien Night,Byredo,lemon amberwood ambroxan cardamom,43,22,35,0
Jean Paul Gaultier Aventus Eau de Parfum,Jean Paul Gaultier,saffron cedar oakmoss mandarin cinnamon,50,23,27,0
Hermes Reflection Intense,Hermes,amberwood oakmoss cashmeran petitgrain bergamot,54,41,4,1
Dior Le Beau Extreme,Dior,cinnamon oud,3,61,36,0
Maison Margiela La Nuit de L'Homme Extreme,Maison Margiela,ambroxan oakmoss nutmeg oud pepper,11,41,43,5
Amouage Soleil Blanc Gold,Amouage,cedar oakmoss orange pepper cloves oud,19,57,23,1
Paco Rabanne Scandal Sport,Paco Rabanne,oakmoss lemon chocolate praline,46,38,0,16
Dior Angels Share Sport,Dior,lavender amberwood cardamom,8,37,40,15
Lancome Le Male,Lancome,vetiver petitgrain,23,58,6,13
Maison Margiela Le Beau Privé,Maison Margiela,cedar mandarin,43,48,9,0
Paco Rabanne Jubilation Intense,Paco Rabanne,ambroxan cedar mint cardamom lime oud,32,35,33,0
Kilian Sauvage,Kilian,honey caramel pepper,12,8,25,55
Versace Lost Cherry Night,Versace,lavender pineapple pepper,14,14,23,49
Jean Paul Gaultier Black Phantom,Jean Paul Gaultier,lemon cardamom cedar,34,37,20,9
Hermes The One Elixir,Hermes,patchouli cashmeran cloves bergamot,35,32,33,0
Paco Rabanne Sauvage Elixir,Paco Rabanne,lemon cinnamon ginger,43,6,37,14
Roja Spicebomb,Roja,blackcurrant cedar sandalwood caramel oud,15,16,7,62
Dior Rose of No Man's Land Eau de Parfum,Dior,neroli cedar saffron oakmoss cashmeran lime,31,26,43,0
Hermes Pegasus Intense,Hermes,cedar lemon petitgrain cardamom birch cinnamon,39,34,27,0
Chanel Jubilation Sport,Chanel,cashmeran orange,43,54,3,0
Gucci Coco Mademoiselle Intense,Gucci,amberwood lemon petitgrain birch oud,28,64,5,3
Kilian Rose of No Man's Land Privé,Kilian,vanilla cinnamon,14,13,34,39
Jean Paul Gaultier Fucking Fabulous Parfum,Jean Paul Gaultier,blackcurrant cedar pineapple ginger pink_pepper birch,6,31,27,36
Maison Margiela La Vie Est Belle Eau de Parfum,Maison Margiela,grapefruit patchouli lime,54,30,3,13
Versace Green Irish Tweed,Versace,lavender nutmeg cedar,1,64,28,7
Jean Paul Gaultier Code Privé,Jean Paul Gaultier,sandalwood neroli cedar,54,45,1,0
Jean Paul Gaultier Scandal Sport,Jean Paul Gaultier,honey coffee petitgrain mandarin,31,12,9,48
Kilian Y Le Parfum Extreme,Kilian,ambroxan tonka_bean oakmoss lemon petitgrain cardamom lavender,35,16,26,23
Lancome La Vie Est Belle Privé,Lancome,honey grapefruit orange cinnamon,45,11,22,22
Giorgio Armani Reflection Night,Giorgio Armani,saffron lime bergamot cardamom,36,12,41,11
Dior Green Irish Tweed Night,Dior,amberwood grapefruit mint mandarin pink_pepper,45,35,20,0
Tom Ford Lost Cherry Extreme,Tom Ford,lavender mint neroli oud,27,43,30,0
Amouage Jubilation Parfum,Amouage,neroli oakmoss nutmeg lemon pink_pepper,21,28,44,7
Prada One Million Elixir,Prada,blackcurrant ambroxan,8,20,4,68
Jean Paul Gaultier Santal 33 Extreme,Jean Paul Gaultier,saffron vetiver oakmoss ginger lemon mandarin oud,19,53,20,8
Giorgio Armani Le Beau Elixir,Giorgio Armani,blackcurrant tonka_bean oakmoss orange mandarin,27,18,9,46
Giorgio Armani La Vie Est Belle Gold,Giorgio Armani,blackcurrant ginger lemon orange cardamom sandalwood caramel,25,18,36,21
Dior Eros Gold,Dior,peach orange neroli,20,9,1,70
Amouage The One Elixir,Amouage,vanilla saffron ambroxan oakmoss lemon lavender chocolate,20,24,25,31
Versace L'Homme Extreme,Versace,lemon birch cedar,20,59,8,13
Chanel Ombre Leather Privé,Chanel,nutmeg grapefruit oud patchouli birch pepper,31,31,38,0
Dior Lost Cherry Extreme,Dior,saffron pepper petitgrain cedar,26,51,23,0
Prada Libre Gold,Prada,sandalwood amberwood cardamom,10,61,22,7
Tom Ford Aventus Gold,Tom Ford,sandalwood pink_pepper oakmoss lime,21,45,34,0
Gucci L'Homme Extreme,Gucci,cashmeran oakmoss cinnamon ambroxan,6,61,33,0
Versace Bal d'Afrique Elixir,Versace,sandalwood bergamot mandarin,56,23,13,8
Gucci By the Fireplace Night,Gucci,coffee,3,12,1,84
Tom Ford Le Male Intense,Tom Ford,vetiver tonka_bean lime bergamot,20,25,4,51
Paco Rabanne Coco Mademoiselle Night,Paco Rabanne,grapefruit oakmoss oud,28,55,3,14
Paco Rabanne Jadore Night,Paco Rabanne,sandalwood grapefruit lime apple,17,21,11,51
Amouage Silver Mountain Water Sport,Amouage,honey praline nutmeg bergamot,40,13,23,24
Chanel Interlude Gold,Chanel,cinnamon bergamot pineapple,38,12,24,26
Dior Santal 33 Night,Dior,blackcurrant oakmoss apple,9,55,10,26
Byredo Le Beau,Byredo,neroli ambroxan cedar cashmeran bergamot,46,41,13,0
Versace Neroli Portofino Sport,Versace,vetiver oakmoss lemon pink_pepper birch bergamot,42,25,33,0
Prada Coco Mademoiselle Parfum,Prada,grapefruit oud pink_pepper bergamot pepper,25,58,17,0
Gucci Tuscan Leather Gold,Gucci,oud mandarin,45,49,6,0
Lancome Bal d'Afrique Eau de Parfum,Lancome,honey birch mandarin,16,26,3,55
Dior Le Male Eau de Parfum,Dior,saffron nutmeg grapefruit orange sandalwood,47,20,33,0
Versace Jubilation Gold,Versace,tonka_bean cedar oakmoss lavender pepper,11,21,18,50
Yves Saint Laurent Fucking Fabulous,Yves Saint Laurent,ambroxan cedar lemon lavender coffee pepper,16,23,37,24
Chanel Black Orchid Extreme,Chanel,blackcurrant pineapple,12,12,4,72
Creed By the Fireplace Sport,Creed,praline tonka_bean,10,7,13,70
Dior Sauvage Gold,Dior,oakmoss birch nutmeg,11,58,31,0
Amouage Ombre Leather Elixir,Amouage,sandalwood lemon oud mandarin,29,62,9,0
Yves Saint Laurent Libre Elixir,Yves Saint Laurent,oakmoss lime nutmeg petitgrain,30,38,17,15
Maison Margiela Hypnotic Poison Night,Maison Margiela,neroli vetiver nutmeg petitgrain patchouli birch cinnamon,24,35,41,0
Byredo Le Male,Byredo,vanilla tonka_bean vetiver cashmeran pink_pepper,3,51,24,22
Roja Terre Night,Roja,amberwood cedar cardamom nutmeg mandarin oud,31,50,19,0
Amouage Tuscan Leather Sport,Amouage,lavender patchouli ambroxan oud,8,52,40,0
Creed Gypsy Water Gold,Creed,lavender lime amberwood nutmeg,29,55,16,0
Creed Black Phantom Parfum,Creed,sandalwood peach,8,36,10,46
Jean Paul Gaultier Noir Extreme Eau de Parfum,Jean Paul Gaultier,amberwood nutmeg orange petitgrain cinnamon,49,19,31,1
Prada Fucking Fabulous Sport,Prada,cashmeran mint mandarin,20,52,28,0
Lancome Light Blue Parfum,Lancome,vanilla apple cardamom lime bergamot,29,10,28,33
Byredo Soleil Blanc Intense,Byredo,blackcurrant vanilla amberwood vetiver lemon mandarin oud,16,47,15,22
Hermes Mojave Ghost Privé,Hermes,ambroxan cashmeran peach sandalwood coffee,1,59,7,33
Giorgio Armani Love Don't Be Shy Parfum,Giorgio Armani,ambroxan cardamom lime caramel cinnamon,19,24,29,28
Maison Margiela Noir Extreme Parfum,Maison Margiela,amberwood vetiver apple petitgrain patchouli cinnamon,20,30,18,32
Lancome Scandal Extreme,Lancome,sandalwood orange ambroxan cedar,37,57,6,0
Jean Paul Gaultier Invictus Elixir,Jean Paul Gaultier,cedar orange petitgrain lavender sandalwood patchouli,40,38,22,0
Amouage Aventus Eau de Parfum,Amouage,saffron oakmoss birch bergamot oud,46,29,20,5
Paco Rabanne Coco Mademoiselle Eau de Parfum,Paco Rabanne,saffron praline neroli pineapple,52,7,16,25
Chanel Love Don't Be Shy Privé,Chanel,patchouli bergamot cedar,18,69,4,9
Jean Paul Gaultier Code Elixir,Jean Paul Gaultier,blackcurrant cashmeran amberwood caramel,13,60,2,25
Chanel Angels Share Night,Chanel,petitgrain oakmoss neroli ginger,16,47,37,0
Jean Paul Gaultier Libre Gold,Jean Paul Gaultier,saffron cedar oakmoss grapefruit birch,19,45,26,10
Tom Ford Black Phantom Intense,Tom Ford,amberwood neroli vetiver nutmeg grapefruit pink_pepper,24,47,29,0
Creed Ultra Male Night,Creed,amberwood pineapple patchouli coffee bergamot,44,32,0,24
Versace Tobacco Vanille Gold,Versace,saffron praline mint lime oud,18,21,42,19
Gucci Bleu Gold,Gucci,neroli vetiver grapefruit mint patchouli pepper,28,52,20,0
Yves Saint Laurent L'Homme Intense,Yves Saint Laurent,grapefruit oakmoss sandalwood orange,51,35,14,0
Paco Rabanne Angels Share Night,Paco Rabanne,vetiver pineapple caramel cinnamon,0,42,20,38
Gucci The One Elixir,Gucci,honey grapefruit pink_pepper orange,31,9,35,25
Lancome The One Eau de Parfum,Lancome,ambroxan oakmoss lemon lavender cinnamon,39,23,38,0
Giorgio Armani Ombre Leather Sport,Giorgio Armani,pineapple orange cardamom birch bergamot,18,19,27,36
Amouage Herod Extreme,Amouage,blackcurrant cedar vetiver ginger cardamom sandalwood,0,66,16,18
Versace Interlude Parfum,Versace,oakmoss saffron ginger,10,57,29,4
Prada Coco Mademoiselle Gold,Prada,pineapple lemon bergamot,28,7,13,52
Creed Code Night,Creed,amberwood neroli cedar pink_pepper petitgrain patchouli,36,40,24,0
Hermes Spicebomb Gold,Hermes,vanilla tonka_bean,12,15,15,58
Roja Good Girl Gold,Roja,coffee oakmoss amberwood birch,1,54,11,34
Paco Rabanne Black Opium Eau de Parfum,Paco Rabanne,cloves orange bergamot oud,47,30,23,0
Paco Rabanne Straight to Heaven Eau de Parfum,Paco Rabanne,saffron vetiver nutmeg sandalwood birch,11,47,30,12
Paco Rabanne Light Blue Privé,Paco Rabanne,grapefruit lemon cardamom lavender sandalwood,36,39,25,0
Jean Paul Gaultier Soleil Blanc Extreme,Jean Paul Gaultier,blackcurrant sandalwood praline ambroxan,11,54,3,32
Versace Bal d'Afrique Night,Versace,vetiver grapefruit lime ambroxan,37,54,9,0
Yves Saint Laurent Tuscan Leather Eau de Parfum,Yves Saint Laurent,cedar pineapple orange mandarin honey,29,42,2,27
Prada Noir Extreme Extreme,Prada,amberwood vetiver pineapple mint cardamom honey patchouli lime,22,39,19,20
Maison Margiela Jubilation Privé,Maison Margiela,oakmoss cedar mandarin,28,60,9,3
Gucci The One Extreme,Gucci,grapefruit lemon ginger,37,14,39,10
Roja Libre Parfum,Roja,amberwood coffee pink_pepper sandalwood patchouli,11,44,16,29
Jean Paul Gaultier One Million Parfum,Jean Paul Gaultier,sandalwood cashmeran nutmeg,11,63,26,0
Dior No 5 Sport,Dior,blackcurrant ambroxan neroli sandalwood caramel oud,31,42,7,20
Lancome Good Girl Sport,Lancome,honey pineapple orange,35,5,14,46
Kilian Good Girl Elixir,Kilian,cashmeran tonka_bean ginger,12,17,42,29
Yves Saint Laurent Code,Yves Saint Laurent,birch petitgrain,42,46,10,2
Yves Saint Laurent Green Irish Tweed,Yves Saint Laurent,mint peach lime saffron,34,15,23,28
Tom Ford Jubilation Privé,Tom Ford,neroli cashmeran mandarin sandalwood patchouli,55,32,0,13
Tom Ford Gypsy Water Privé,Tom Ford,ambroxan neroli vetiver ginger grapefruit,51,29,20,0
Tom Ford Gypsy Water Extreme,Tom Ford,lavender sandalwood patchouli neroli,24,53,21,2
Tom Ford Jadore Privé,Tom Ford,grapefruit birch neroli,22,68,2,8
Versace Bal d'Afrique Intense,Versace,vetiver patchouli cinnamon cedar,0,64,29,7
Yves Saint Laurent La Nuit de L'Homme,Yves Saint Laurent,ginger birch oud,0,62,38,0
Paco Rabanne Le Beau Privé,Paco Rabanne,mint ambroxan,14,58,26,2
Kilian Libre Eau de Parfum,Kilian,blackcurrant ambroxan cedar vetiver bergamot,16,18,13,53
Roja Black Orchid Eau de Parfum,Roja,neroli oakmoss mandarin sandalwood birch,33,53,14,0
Yves Saint Laurent Acqua Di Gio Privé,Yves Saint Laurent,orange cedar,36,51,13,0
Gucci Reflection Eau de Parfum,Gucci,oakmoss cashmeran orange mandarin coffee,28,27,5,40
Roja Ombre Leather Gold,Roja,peach,2,13,11,74
Jean Paul Gaultier Black Phantom Eau de Parfum,Jean Paul Gaultier,tonka_bean vetiver oakmoss ginger mandarin coffee lime,22,34,24,20
Byredo Millessime Imperial Gold,Byredo,amberwood birch cedar,11,64,12,13
Giorgio Armani Black Phantom Elixir,Giorgio Armani,petitgrain patchouli cloves bergamot,29,44,27,0
Tom Ford Black Orchid Eau de Parfum,Tom Ford,patchouli mint orange,40,43,17,0
Prada L'Homme Night,Prada,grapefruit mint mandarin lavender oud,38,23,37,2
Tom Ford Grey Vetiver Extreme,Tom Ford,birch neroli petitgrain sandalwood cloves,25,48,27,0
Hermes Acqua Di Gio Intense,Hermes,amberwood oakmoss apple grapefruit cashmeran lemon chocolate,41,28,3,28
Roja Interlude Sport,Roja,vetiver oakmoss grapefruit mandarin lavender pepper,44,24,32,0
Jean Paul Gaultier Oud Wood Eau de Parfum,Jean Paul Gaultier,saffron cedar ginger lemon mandarin patchouli,38,28,20,14
Tom Ford Alien Extreme,Tom Ford,amberwood tonka_bean honey cashmeran lavender sandalwood,3,25,39,33
Yves Saint Laurent Invictus Eau de Parfum,Yves Saint Laurent,tonka_bean mandarin,34,9,8,49
Maison Margiela Santal 33 Sport,Maison Margiela,apple grapefruit cashmeran orange cardamom,25,20,34,21
Yves Saint Laurent Fucking Fabulous Privé,Yves Saint Laurent,saffron cedar oakmoss pink_pepper lime birch,41,30,22,7
Yves Saint Laurent Code Eau de Parfum,Yves Saint Laurent,sandalwood cashmeran petitgrain,48,46,6,0
Creed Le Male,Creed,mint peach apple cinnamon,6,15,27,52
Roja Jubilation Eau de Parfum,Roja,grapefruit cashmeran neroli oud,28,49,14,9
Kilian Love Don't Be Shy Night,Kilian,apple caramel,9,14,6,71
Amouage Aventus Sport,Amouage,pineapple orange,25,8,0,67
Tom Ford Black Phantom Eau de Parfum,Tom Ford,ambroxan pink_pepper petitgrain mandarin lavender patchouli oud,36,21,38,5
Jean Paul Gaultier By the Fireplace Night,Jean Paul Gaultier,cashmeran petitgrain,41,37,9,13
Byredo Tuscan Leather Intense,Byredo,blackcurrant pink_pepper saffron pineapple,2,11,42,45
Hermes Baccarat Rouge Elixir,Hermes,birch bergamot,43,45,12,0
Giorgio Armani Gypsy Water Elixir,Giorgio Armani,honey cinnamon lemon neroli,28,7,18,47
Prada Acqua Di Gio Sport,Prada,neroli vetiver nutmeg pink_pepper patchouli lime,33,45,21,1
Lancome Millessime Imperial Intense,Lancome,ambroxan neroli vetiver lavender pepper,38,42,20,0
Prada Spicebomb Intense,Prada,cashmeran lemon,40,51,9,0
Chanel Hypnotic Poison Eau de Parfum,Chanel,sandalwood pepper lemon cedar,42,35,23,0
Maison Margiela Millessime Imperial Elixir,Maison Margiela,cedar oakmoss petitgrain chocolate birch caramel,31,34,12,23
Amouage Alien Eau de Parfum,Amouage,pineapple amberwood saffron mandarin,36,21,27,16
Roja Ultra Male Parfum,Roja,amberwood tonka_bean grapefruit orange patchouli birch,22,29,15,34
Prada Aventus Privé,Prada,tonka_bean nutmeg cardamom,8,13,25,54
Tom Ford La Nuit de L'Homme Gold,Tom Ford,praline chocolate oud,12,40,12,36
Kilian Coco Mademoiselle Elixir,Kilian,saffron pineapple mint honey lime,16,6,24,54
Gucci Love Don't Be Shy Parfum,Gucci,saffron neroli cardamom coffee caramel,37,11,29,23
Amouage Jubilation Privé,Amouage,amberwood ambroxan cedar pink_pepper chocolate pepper,10,30,33,27
Maison Margiela Silver Mountain Water Extreme,Maison Margiela,amberwood cedar grapefruit mint lavender sandalwood,26,44,30,0
Prada Angels Share Eau de Parfum,Prada,apple caramel mandarin,54,12,14,20
Giorgio Armani Santal 33 Elixir,Giorgio Armani,neroli grapefruit lavender cinnamon oud,24,55,21,0
Paco Rabanne Good Girl Elixir,Paco Rabanne,cashmeran caramel mandarin,24,24,15,37
Maison Margiela Bal d'Afrique,Maison Margiela,cashmeran orange mandarin lavender birch,22,48,30,0
Kilian Silver Mountain Water Elixir,Kilian,sandalwood grapefruit lime cedar,35,62,3,0
Yves Saint Laurent Eros Sport,Yves Saint Laurent,coffee amberwood petitgrain,48,28,6,18
Byredo Ultra Male Parfum,Byredo,lavender caramel bergamot,49,5,20,26
Gucci Stronger With You Elixir,Gucci,pineapple praline mandarin lime oud,31,23,1,45
Creed Interlude Elixir,Creed,vetiver grapefruit amberwood birch,26,61,4,9
Giorgio Armani Bleu Gold,Giorgio Armani,blackcurrant pineapple mandarin lavender patchouli oud,31,35,17,17
Chanel Le Male Gold,Chanel,ambroxan ginger patchouli cinnamon bergamot,20,44,36,0
Hermes Straight to Heaven Eau de Parfum,Hermes,amberwood cedar cashmeran orange cinnamon pepper,35,48,17,0
Amouage Reflection,Amouage,amberwood oakmoss peach caramel oud,11,53,2,34
Roja Gypsy Water Privé,Roja,grapefruit pineapple lime,28,10,15,47
Maison Margiela Sauvage,Maison Margiela,cardamom cedar,11,48,32,9
Tom Ford Ombre Leather Privé,Tom Ford,blackcurrant oakmoss nutmeg cedar,1,20,18,61
Paco Rabanne Good Girl Gold,Paco Rabanne,amberwood pineapple lemon orange patchouli,20,25,10,45
Creed Libre Extreme,Creed,apple neroli,18,6,11,65
Roja Code Eau de Parfum,Roja,coffee pineapple lemon lavender patchouli lime pepper,28,18,20,34
Byredo Straight to Heaven Gold,Byredo,mint orange lime birch oud,21,45,34,0
Yves Saint Laurent Rose of No Man's Land Extreme,Yves Saint Laurent,blackcurrant vetiver patchouli praline,9,56,10,25
Yves Saint Laurent Libre Night,Yves Saint Laurent,tonka_bean praline lemon orange cardamom,47,9,25,19
Lancome Scandal Gold,Lancome,oakmoss lemon bergamot,46,40,14,0
Roja Interlude,Roja,tonka_bean sandalwood patchouli chocolate bergamot,26,44,12,18
Lancome Straight to Heaven Gold,Lancome,mint birch,13,46,37,4
Kilian No 5 Privé,Kilian,amberwood cashmeran petitgrain lime cloves,35,29,22,14
Roja Bal d'Afrique Privé,Roja,amberwood grapefruit petitgrain pink_pepper birch cinnamon oud,27,40,33,0
Creed Bleu Sport,Creed,birch patchouli lime amberwood,42,47,11,0
